regno mainno vno Name            Area    East    North   UTM
2    11   0 Narsjo               119.0   317821  6919394 UTM32
2    28   0 Aulestad             869.8   246027  6795979 UTM32
2    32   0 Atnasjo              463.3   248696  6866933 UTM32
2   142   1 Knappom             1643.0   338530  6726448 UTM33
2   145   1 Losna              11205.4   247417  6809063 UTM32
2   265   1 Unsetaaa             620.1   294592  6874376 UTM32
2   268   0 Akslen               789.3   154948  6869267 UTM32
2   279   1 Kraakfoss            435.2   282324  6672734 UTM32
2   291   1 Tora                 262.1   126995  6895583 UTM32
2   463   1 Vismunda             191.8   259786  6766299 UTM32
2   479   1 Libru                156.9   238403  6885379 UTM32
2   604   0 Elverum            15449.9   313304  6753674 UTM32
2   614   0 Rosten              1833.0   205839  6871105 UTM32
2   633   0 Stortorp              87.2   302085  6585263 UTM32
2   634   1 Lena                 183.6   271220  6733473 UTM32
3    22   1 Hogfoss              299.6   265842  6608781 UTM32
6    10   1 Gryta                  7.0   265785  6657426 UTM32
8     2   1 Bjornegaards         190.8   248777  6648073 UTM32
12   70   1 Etna                 568.5   209139  6769367 UTM32
12  150   1 Buvatn                25.0   160638  6721504 UTM32
12  171   1 Holervatn             79.4   197824  6743203 UTM32
12  178   1 Eggedal              310.6   191232  6681335 UTM32
12  192   1 Sundbyfoss            74.8   224211  6607750 UTM32
12  209   1 Urula                554.1   219200  6724518 UTM32
12  215   1 Storeskar            119.7   138604  6769129 UTM32
15   21   1 Jondalselv           126.9   193828  6631396 UTM32
15   49   1 Halledalsvatn         59.2   142101  6724067 UTM32
15   53   0 Borgaai               93.8   169312  6700951 UTM32
15   79   0 Orsjoren            1178.1   129057  6712954 UTM32
16   66   1 Grosettjern            6.5   126013  6651976 UTM32
16   75   1 Tannsvatn            118.0   109976  6635419 UTM32
16  122   1 Grovaai               42.2   123333  6630479 UTM32
16  132   1 Gjuvaa                33.3   151654  6640467 UTM32
18   10   1 Gjerstad             235.9   156332  6542433 UTM32
19  107   1 Lilleelv              40.5   132635  6494410 UTM32
20    2   1 Austenaa             276.4   102216  6542728 UTM32
22    4   1 Kjolemo             1757.7    60379  6466492 UTM32
22   16   0 Myglevatn            182.2    67715  6502242 UTM32
22   22   1 Sogne                203.6    78051  6461281 UTM32
24    8   0 Moska                121.4    33807  6474075 UTM32
24    9   0 Tingvatn             272.2    46112  6499670 UTM32
25   24   1 Gjuvvatn              97.0    55441  6583769 UTM32
26   20   1 Aardal                77.2     5920  6520601 UTM32
26   29   1 Refsvatn              53.0    -5758  6500337 UTM32
28    7   1 Haugland             139.4   -40981  6543711 UTM32
35   16   1 Djupadalsvatn         45.3     9752  6603122 UTM32
41    1   1 Stordalsvatn         130.7    -5208  6650413 UTM32
48    1   1 Sandvenvatn          470.2    29564  6683099 UTM32
48    5   1 Reinsnosvatn         120.5    38833  6676909 UTM33
50    1   1 Holen                231.4    45408  6719745 UTM32
62    5   1 Bulken              1091.7    24518  6753006 UTM32
62   10   0 Myrkdalsvatn         157.8    38350  6770390 UTM32
72   77   0 Flaambru             263.2    72421  6770354 UTM32
73   27   1 Sula                  30.3   129378  6801391 UTM32
75   23   1 Krokenelv             45.9    93991  6825127 UTM32
76    5   0 Nigardsbrevatn        65.3    89910  6861527 UTM32
77    3   1 Sogndalsvatn         110.9    72486  6822181 UTM32
78    8   0 Boyumselv             40.5    60541  6840653 UTM32
82    4   0 Nautsundvatn         219.0   -14569  6828940 UTM32
83    2   1 Viksvatn             508.1    13361  6833950 UTM32
87   10   0 Gloppenelv           218.6    52688  6872059 UTM32
88    4   1 Lovatn               234.9    74031  6885087 UTM32
91    2   1 Dalsbovatn            25.7   -10883  6931180 UTM32
98    4   0 Oye                  138.8    79130  6908019 UTM32
103   1   2 Storholen            435.5   143336  6924423 UTM32
103  40   0 Horgheim            1099.4   128391  6947792 UTM32
105   1   2 Osenelv              137.6   129534  6983503 UTM32
109   9   1 Risefoss             746.0   221773  6942810 UTM32
